,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.979591836734694,1.0,0.7309554219333333,0.14285714285714285,0.5,0.9,0.85
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9105555555555556,1.0,0.7309554219333333,0.14285714285714285,0.42857142857142855,0.8,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9027777777777777,1.0,0.7309554219333333,0.14285714285714285,0.35714285714285715,0.75,0.8
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8500000000000001,1.0,0.7309554219333333,0.14285714285714285,0.2857142857142857,1.0,0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.826388888888889,1.0,0.7309554219333333,0.14285714285714285,0.21428571428571427,1.0,1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7309554219333333,0.14285714285714285,0.14285714285714285,1.0,1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9876543209876544,1.0,0.7309554219333333,0.14285714285714285,0.07142857142857142,0.8214594594594594,1.0
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9222222222222223,1.0,0.7592082560050001,0.14285714285714285,0.07142857142857142,0.8214594594594594,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8875,1.0,0.642313237,0.14285714285714285,0.2857142857142857,0.9,0.15
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6236111111111111,1.0,0.642313237,0.14285714285714285,0.21428571428571427,0.8,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.932142857142857,1.0,0.642313237,0.14285714285714285,0.14285714285714285,0.9,0.8
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6086339586339585,1.0,0.642313237,0.14285714285714285,0.07142857142857142,0.8214594594594594,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49945054945054945,1.0,0.4643119673,0.2857142857142857,0.14285714285714285,0.65,0.65
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.932142857142857,1.0,0.7592082560050001,0.14285714285714285,0.14285714285714285,0.95,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7916666666666666,1.0,0.7714824290852941,0.14285714285714285,0.8571428571428571,0.95,0.8
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5989795918367348,1.0,0.6309006066058974,0.42857142857142855,0.8571428571428571,0.7,0.6
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6546296296296296,1.0,0.6309006066058974,0.42857142857142855,0.7857142857142857,0.55,0.7
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6799100449775113,1.0,0.6309006066058974,0.42857142857142855,0.7142857142857143,0.9,0.55
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8685714285714285,1.0,0.6309006066058974,0.42857142857142855,0.6428571428571429,0.8,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.599047619047619,1.0,0.6309006066058974,0.42857142857142855,0.5714285714285714,0.9,0.8
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8456349206349207,1.0,0.6309006066058974,0.42857142857142855,0.5,0.45,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6795634920634921,1.0,0.6309006066058974,0.42857142857142855,0.42857142857142855,0.9,0.45
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8778499278499279,1.0,0.6309006066058974,0.42857142857142855,0.35714285714285715,0.9,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7602079293255763,1.0,0.6309006066058974,0.42857142857142855,0.2857142857142857,0.85,0.9
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8314393939393939,1.0,0.6309006066058974,0.42857142857142855,0.21428571428571427,0.75,0.85
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7934343434343434,1.0,0.6309006066058974,0.42857142857142855,0.14285714285714285,0.8,0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7084559884559883,1.0,0.6309006066058974,0.42857142857142855,0.07142857142857142,0.6923619631901841,0.8
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8380952380952381,1.0,0.7714824290852941,0.14285714285714285,0.7857142857142857,0.75,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8901515151515151,1.0,0.7714824290852941,0.14285714285714285,0.7142857142857143,0.95,0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.894510582010582,1.0,0.7714824290852941,0.14285714285714285,0.6428571428571429,0.85,0.95
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8962962962962964,1.0,0.7714824290852941,0.14285714285714285,0.5714285714285714,0.85,0.85
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9351473922902495,1.0,0.7714824290852941,0.14285714285714285,0.5,1.0,0.85
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.82,1.0,0.7714824290852941,0.14285714285714285,0.42857142857142855,0.8,1.0
