,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11_A,X11_B,X11_C,X11_D,X11_E,X11_F,X11_Fp,Y
0,1.0,0.9460626144999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.871062973999999,0,0,0,1,0,0,0,70.0
0,1.0,0.8639820019333332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0,0,0,0,0,1,0,75.0
0,0.3333333333333333,0.9891157448500001,0.3,0.16666666666666666,0.5099996328,0.15,0.5,0.34649484106666667,0.55,9.231336506633333,0,0,0,1,0,0,0,50.0
0,1.0,0.8349179625666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.688851475933333,0,0,0,0,0,1,0,75.0
0,0.6666666666666666,0.92111116645,0.8,0.3333333333333333,0.5618860722,0.2,0.0,0.0,0.0,12.219172557133334,0,0,0,0,0,1,0,75.0
0,0.6,0.8580716649666668,0.6,0.2,0.5034439564,0.15,0.2,0.4675788581,0.25,10.926665866319999,0,0,1,0,0,0,0,85.0
0,0.4,0.80976212025,0.4,0.4,0.5291235745,0.4,0.2,0.4897791445,0.2,9.8691414952,0,1,0,0,0,0,0,75.0
0,1.0,0.9119553565999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7673749924,0,0,0,0,1,0,0,90.0
0,0.6666666666666666,0.8483646015333335,0.7,0.2222222222222222,0.5590830147,0.15,0.1111111111111111,0.2927207947,0.15,12.0052555798,1,0,0,0,0,0,0,90.0
0,1.0,0.9598107039749999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04558674471111,0,1,0,0,0,0,0,80.0
0,1.0,0.9505315290555555,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.307441406777778,1,0,0,0,0,0,0,100.0
0,0.8888888888888888,0.9405555501625,0.8,0.1111111111111111,0.5172908902,0.2,0.0,0.0,0.0,8.246444148336842,1,0,0,0,0,0,0,85.0
0,0.4,0.97455912825,0.25,0.0,0.0,0.0,0.6,0.20556789883333335,0.75,8.246444148336842,0,0,0,1,0,0,0,0.0
0,1.0,0.887700006375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.42780008925,1,0,0,0,0,0,0,85.0
0,1.0,0.9308717913000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0322050782,1,0,0,0,0,0,0,95.0
0,0.75,0.8939682642666668,0.75,0.25,0.5846613646,0.25,0.0,0.0,0.0,12.3808664746,0,1,0,0,0,0,0,80.0
0,0.4,0.8606828451499999,0.45,0.4,0.6068433225000001,0.3,0.2,0.2876228988,0.25,10.02349065548,0,0,1,0,0,0,0,65.0
0,0.3333333333333333,0.8326537013,0.4,0.3333333333333333,0.6827831268,0.4,0.3333333333333333,0.480648756,0.2,10.315066059133333,0,0,0,0,0,1,0,75.0
0,1.0,0.8930978477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5033698678,0,0,0,1,0,0,0,95.0
0,0.8888888888888888,0.9429025053875,0.8,0.1111111111111111,0.6989523172,0.2,0.0,0.0,0.0,13.821157004911111,1,0,0,0,0,0,0,100.0
0,0.6,0.8513350883999999,0.6,0.2,0.6163855195,0.15,0.2,0.06136212125,0.25,7.67180924294,0,0,1,0,0,0,0,0.0
0,0.3333333333333333,0.7478126287,0.4,0.3333333333333333,0.6827831268,0.4,0.3333333333333333,0.4723888338,0.2,9.880594750066667,0,0,0,0,0,1,0,75.0
0,1.0,0.9449294448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.339035118625455,0,0,1,0,0,0,0,75.0
