,drl_mstr_mean,tlrn_mstr
0,0.7823552489,0.8200044036
1,0.7423505186999999,0.9126346707
2,0.7421914637,0.4045822322
3,0.7423451840499999,0.7584211826
4,0.7423570454499999,0.7621465921
5,0.7823552489,0.5087425709
6,0.7023750246,0.4738869965
7,0.6961888968500001,0.6044499874
8,0.70137539505,0.1446053237
9,0.85580560565,0.6780526638
10,0.7421914637,0.7020680308
11,0.7423531115499999,0.5443927646
12,0.7341981827999999,0.8062391877
13,0.7423451840499999,0.7823749781
14,0.80212655665,0.747204721
15,0.74236238,0.8026441932
16,0.7823552489,0.9768277407
17,0.7812169194,0.2063203603
18,0.7823552489,0.717476964
19,0.74857467415,0.7517781854
20,0.79986813665,0.6892325878
21,0.85580560565,0.7011156678
22,0.7823552489,0.6885198951
23,0.74237498645,0.8747499585
24,0.7023727298,0.0277911853
25,0.76744511725,0.779998064
26,0.74226543305,0.5354838967
27,0.7823552489,0.2926584482
28,0.7823552489,0.5952246189
29,0.7021484077,0.7494357824
30,0.74235472085,0.4105018079
31,0.70237332585,0.7513606548
32,0.8542428315,0.2123429179
33,0.8723630309,0.8434735537
34,0.7823552489,0.4549323022
35,0.7022049129,0.6371765733
36,0.794798553,0.6807354689
37,0.7823552489,0.7011156678
38,0.75707247855,0.642219007
39,0.7823552489,0.7812147141
40,0.8319443762500001,0.2020388395
41,0.8585742413999999,0.775295496
42,0.7823552489,0.80252105
43,0.78551009295,0.5999999642
44,0.7812424004,0.2982240021
45,0.7423438132,0.7003977895
46,0.89118748905,0.8023715019
47,0.8423604369,0.4476379156
48,0.7823552489,0.7003437877
49,0.7823552489,0.7520728707
50,0.70224997405,0.7771757841
51,0.9198119044,0.7699711323
52,0.7823552489,0.8702095151
53,0.8887306749999999,0.5749576092
54,0.7503589988,0.4638774097
55,0.74155473705,0.5522809029
56,0.7414795458,0.347525537
57,0.5997186601,0.2044529319
58,0.8878345489499999,0.6856859326
59,0.86681503055,0.7153969407
60,0.74236512185,0.6894884706
61,0.826582551,0.6915487051
62,0.7823552489,0.8699674606
63,0.7023572922,0.5883343816
64,0.7249980867,0.5948190093
65,0.7023576796,0.7870413661
66,0.7963477075500001,0.7797971368
67,0.8874821961,0.7508174181
68,0.74236512185,0.7490087152
69,0.70224997405,0.5042348504
70,0.7022421658,0.5099999309
71,0.928719908,0.7024165988
72,0.74236512185,0.7847499847
73,0.79891067745,0.6153981686
74,0.7735314965,0.7015289664
75,0.7013790011500001,0.1103560627
76,0.8825893402,0.840274632
77,0.70233741405,0.3119449914
78,0.67163550855,0.5709946156
79,0.6061951816,0.2133215964
80,0.7189949751,0.5803760886
81,0.7423451840499999,0.7419210076
82,0.7823552489,0.7504259348
83,0.7861875296,0.7499935627
84,0.82499998805,0.7469972968
85,0.7823552489,0.7493675947
86,0.7823552489,0.3977711201
87,0.865480721,0.6659725308
88,0.7423505186999999,0.6000000238
89,0.6061919928,0.2272837162
90,0.703566134,0.6467319727
91,0.71785637735,0.4758626223
92,0.7978633046,0.6663393974
93,0.64494645595,0.08001676947
94,0.82078921795,0.5192433
95,0.798139751,0.7027936578
96,0.74236026405,0.6137843728
97,0.7023749948,0.4269049466
98,0.84255200625,0.8026178479
99,0.7422397732499999,0.466285944
100,0.74235641955,0.6995458007
101,0.7023767233,0.7023750544
102,0.7999999523,0.7999999523
103,0.5549832880500001,0.0117962677
104,0.7823552489,0.7871249914
105,0.7823552489,0.7871248126
106,0.8048666715999999,0.5755052567
107,0.7823552489,0.7498275042
108,0.8786147535,0.5555471778
109,0.7823552489,0.7023857236
110,0.74236512185,0.2854187489
111,0.7023600936000001,0.5907074809
112,0.7823552489,0.7504259348
113,0.742310524,0.5988805294
114,0.932482183,0.7508174181
115,0.8099890053500001,0.5099999905
116,0.8449999690000001,0.5099999905
117,0.7423570454499999,0.7004526854
118,0.8232533335500001,0.8074044585
119,0.8300571442,0.8261270523
120,0.82282811405,0.6298581958
121,0.9198119044,0.6321768165
122,0.6952545643,0.5218263268
123,0.84691885115,0.7472604513
124,0.75731909275,0.7847499847
125,0.7423570454499999,0.7023791671
126,0.7823552489,0.746191442
127,0.7823552489,0.7013465166
128,0.5095485449,0.6626793146
129,0.7823552489,0.8627678752
130,0.7549814582000001,0.7502695918
131,0.7999999821,0.402253598
132,0.9391859174,0.1828973144
133,0.7599860728000001,0.70163095
134,0.74236515165,0.01233022939
135,0.70210257175,0.6880258918
136,0.7823552489,0.7707678676
137,0.7582318484999999,0.2258407921
138,0.7422401010999999,0.6824746728
139,0.7823552489,0.8747499585
140,0.7823552489,0.8593310118
141,0.7016532420999999,0.640181005
142,0.8060575425500001,0.7651665807
143,0.7823552489,0.1221553162
144,0.7823552489,0.5096455216
145,0.74223989245,0.7500538826
146,0.7423737645499999,0.8701202273
147,0.8693024218000001,0.5099999905
148,0.596883595,0.4450747371
149,0.70229259135,0.5091075897
150,0.74236536025,0.3918920755
151,0.6855733693,0.6775190234
152,0.8141344786,0.725728333
153,0.8437221646499999,0.640312314
154,0.7823552489,0.7021599412
155,0.462557584,0.1506052464
156,0.8630903363,0.6322037578
